title,post_date,edit_date,contributor_id,contributor_rank,message_text,post_moderation,category,url
More Connects to win more of the work you love,3/5/21 2:07,,c4c1976ab04411e3,ActiveMember,"Yes, you will receive 40 connects upon passing the Upwork Readiness Test.I passed in 3rd attempt and have received the connects as well.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/6/21 23:01,3/6/21 23:51,1ed710109011ac4f,ActiveMember,"Hello,I wanted to know how this responding to an interview and get 10 free connects works.There is a limit to 50 free connects every week, when this new week starts After Sunday or Friday?I am confused because I send the proposal to some jobs this week and from Monday to Thursday I get 40 free connects but I receive an interview from more than 5 clients and Yesterday I responded to one client and received 10 connect Again.Thank youRegardsZAIN**Edited for Community Guidelines**",**Edited**,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/6/21 9:30,,6b32220ce7997617,Moderator,"HiRadha,I shared your report with our team and one of our agents already reached out to you directly via a support ticket to assist you further. You can access your ticket on this page.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/3/21 0:37,,288688f48eedb184,ActiveMember,"Hi Up-work, Just to inform you that I haven't received my Awarded Connects for responding to a job interview in my connect history. Please do needful.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/3/21 22:06,3/3/21 23:20,f1717e7d5fcd337b,ActiveMember,"Hello Marie,Thank you for your cooperation and reply to my query. I'm sending you two more screenshots of the mail I received today of receiving 10 connects and the screenshot of the jobs I was interviewed and hired for. In these two jobs, I was interviewed and hired. But today I received only 10 connects for one job, I mentioned in the attachment.I hope you will get the point. If I'm in confusion please clarify me. If there is a problem in the system, kindly rectify it.Thank you.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/5/21 1:11,,82d5aee00c279a3b,CommunityGuru,"Hi guys! It's my third month on Upwork and I cannot figure out how are the free connects work. At the beginning, I used to get 10 free connects for replying to each interview invitation and being interviewed. Within past 2 weeks I was invited twice and got hired once, the second interview is still in progress. No connection received. Yesterday, a proposal I sent in January was accepted, interview in progress, 10 connects received. How does it work? Thanks!____________________I'm surprised you got connects on invited jobs, but perhaps those invitations came at the same time that the ten connects are given monthly to freelancers on the basic program? Have a look here:https://support.upwork.com/hc/en-us/articles/360057604814-2020-11-24-FREE-Connects-to-Do-More-on-Upw...",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/1/21 17:32,,3edcff2c4d802522,ActiveMember,"Hello Buddies,I hope you are doing well.I am not receiving the free connects from Upwork.(10 Monthly and also after winning the interview)Can you please guide me how I can get these connects or what i should do?Your guidance/assistance would be highly appriciated.Best regards.Kamran M.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/1/21 21:03,,0bbf1958845918e8,ActiveMember,i got free connect after interview but thats can not added my connect,Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/2/21 9:00,,86c17ebffe5b0e38,ActiveMember,Hello there i'm facing a problem with the connects . Today is 2nd March in my region and still i didn't get the monthly 10 connects . Kindly help me with this situation.RegardsShoyaib,Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/2/21 8:13,,5032a9b5a0518bd8,Moderator,"HiSusan,You get free Connects every month and bonuses for every interview you win!Here’s how it works:1. Submit a proposal to a job2. Receive a request from a client to interview3. Respond, connect, and earn a bonus of 10 Connects!Note: Connects will be automatically added to your account -- please allow up to 24 hours. You can earn up to 50 Connects every seven days!",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/2/21 21:11,,7e84aea1fcb23b62,ActiveMember,"I didn't received connect after job close by client, I see many time this is happing.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/5/21 4:34,,24a7477779c427d5,CommunityGuru,"I have heard that there was a update in upwork feautures that when your client didnt hire your or you submit a proposal but didnt get project upwork will refund your connects which you used while biddibg.is this feature still availbleIt never was ""if the client doesn't hire you"" - it was ""if the client does not hire anyone"" and no, that hasn't been available for months. It was a short experiment and has been discontinued.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/27/21 23:56,,74b70d2c3251c5d5,AceContributor,"Hi Luiggi,It has been 2 days since I bid and got interviewed and contracted but my 10 connects did not arrive yet. Maybe because of the maintenance issues. Contract ID is26401023, thank you.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/3/21 9:07,,b9da354aa81b5f92,ActiveMember,"ok noted, thanks for replying.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/1/21 7:22,,dd8c57691a33a2e1,ActiveMember,I won an interview before the Upwork update issue then I didn't get my connections. Please give me connections. Thank You,Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/2/21 19:59,,5d3d644d62a08011,ActiveMember,"Hello Avery,Thanks for your reply. The email was from the previous two projects that I have complained about. I have won for an interview and get hired as well. The project name was1-Research Physical Recurring Products2-Proofread and editing of documentsFor the above, both jobs I have submitted the proposals and I have won interviews and Clients hired me as well.) Please do check on my well as. This is really important for me to have connects.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/28/21 20:09,,b3414a5396ccbff3,Moderator,"Hi Umair,It looks like you have just received the email where it says you have earned 20 Connects for responding to interviews.Let us know if you need further help with anything!",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/28/21 3:19,,d5203dd544a647dd,ActiveMember,HelloI worked on Upwork but some problems that I am facing on Upwork I earned $80+ an Upwork charged from me $17 and from $3 I buy connects and these 20 connects are also finished and in these 20 connects when I submitted proposals one of person invite me for the interview and Upwork did not give me 10 free connects and also Upwork did not give me 10 free connects/monthly 😒Please help me because I have no enough money to buy connects because I am a beginner please someone solved my issue ........ThanksSalman,Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/25/21 17:50,,cde62178bfca8b3f,CommunityGuru,"About 2 months ago Upwork once again changed the connects system. When you submit a proposal, and the client responds, and you respond back, you get 10 free connects. This does not apply to invites.I get invited a lot so I don't get to enjoy it as much. But I did submit a few proposals this week and got enjoy that nice ""You've got free connects"" email. ",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/11/21 10:25,,f7ee95f2aea4d901,ActiveMember,You just confirmed it: the more profit UpWork will get the higher the connects will be required. I rest my case,Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/20/21 14:27,,55751f056479a060,CommunityGuru,"Someone contacted me about a previous interview.On Feb 18 I made a proposal & client contacted me & hired the same day. Contract: 26328908. Have not received connects.In addition, on Feb 13 I made a proposal & client contacted me today. He has sent me an offer. I believe I should receive connects.It is turning out to be time consuming trying to keep track of these proposals & connects.JoanHi Joan,I think I don't understand well.In both cases, did you respond when the client responded to your proposal?Or did they hire you without your answering?",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/27/21 23:30,,3ae32150a40261ba,ActiveMember,"Hello Everyone,Can I pay for new Connects with my earnings from my Upwork account, without having to link a card to pay?If yes, how do I go about this?Thank you.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/28/21 1:32,,754010c59fc94376,CommunityManager,"Hi Gabriel,Thanks for the question. In order to be able to purchase Connects, first you will need to add a billing method. Afterwards, if you have a balance on Upwork you can use it to buy Connects.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/27/21 23:34,,494d885874165c21,ActiveMember,How can I use my earnings to buy more connects? I can only see Credit Card and PayPal as an option.Thank you.,Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/22/21 19:19,,612ee09700d49e4c,ActiveMember,In my opinion connects should be refunded if client hires someone else as we are already paying a fees to upwork for each task.,Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/22/21 19:52,2/22/21 19:53,d324e45037dc32fc,CommunityGuru,"re: ""Do my connects get refunded if client hires someone else?""No.re: ""In my opinion connects should be refunded if client hires someone else as we are already paying a fees to upwork for each task.""You are welcome to express that opinion.The current way that connects are spent and refundedis not scheduled to change.But rest assured that some things change on the platform each year.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/23/21 20:07,,18d0adf33d57f44f,ActiveMember,"Hello,I have been active on Upwork for more than a month now and I haven't recieved monthly connects yet. Can you please look into it and resolve the issue?Thanks & Regards,Meet",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/8/21 18:58,2/8/21 18:59,077a249dbca6240e,CommunityGuru,Aleksandar - I made a proposal for a job post on Feb 2 and then received an interview and then was hired - but I never received the 10 connects for the interview. Is that still in effect for interviews?,Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/25/21 17:04,,246dfcd2f952e22b,ActiveMember,So I just got free connects for responding to interviews. In the history of oDesk and Upwork I don't remember ever getting rewarded by the system for anything. I highly approve of this trend.,Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/21/21 22:19,2/21/21 23:57,79a55e90960c82db,ActiveMember,"Thanks, Joanne,**Edited for Community Guidelines**credited me the connects manually.",**Edited**,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/18/21 6:18,,0d4f3bdcb6d1d381,ActiveMember,"Hi Upwork Community!Does an active proposal count as winning an interview from a client?if so, would I get free connects from that?I'm quite confused about how to gain free connects.Need some clarifications.Thank you!Althea M.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/19/21 9:13,,f0a151ca34b0dedd,AceContributor,"Can someone explain this to me, please.I tried upgrading my membership to plus, and I am being offered 76 connects instead of 80.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/16/21 4:40,,6bb106e712f09c71,ActiveMember,"Hi Medjadi,I have had the same issue, but I contacted Upwork support and they corrected it right away.I think it's caused by wrongly set automation.You should contact them and you will get the additional 10 connects for sure and you can be assured that from that moment on you won't face this issue again.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/16/21 22:46,,7e87bdda76e0032d,ActiveMember,"Hello, Recently I face a problem with Upwork. So, I need your help.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/17/21 6:04,,6b896ac0a9a6c3e3,ActiveMember,"I won a job probably around 3 days ago. The client automatically sent me an offer after I submitted a proposal. I accepted the offer and is now working on the project, but I haven't received my free connects for this? It normally would appear in 24 hours, but it's been days now and none received yet.Also, does Upwork give free connects to answering job/interview invitations? I noticed other people get free connects for this.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/17/21 21:17,,bf99db69aba7cc1f,ActiveMember,"Hello, how long is this reward system still ongoing?Thank you.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,1/19/21 8:22,,63d8bd1db01decd9,ActiveMember,"Unfortunately I didn't get hired. But I communicated with 3 different potential clients. They all responded to my proposals and this was not a direct invitation. I understood I should have gotten 3 x 10 connects, but I only got 10.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,1/19/21 8:19,,a753028e347150bf,CommunityGuru,"I'd like to understand how the ""connects for the interview"" system works. I submitted a few proposals and I got a 3 clients messaging me back. With two clients we had Zoom calls, with the last one only some text messages. I got awarded 10 connects, where I expected 30, 10 for each interview. How does this work exactly? The docs say:Earn ConnectsWin an interview. When you submit a proposal to a client and win an interview, you’ll get a bonus of 10 Connects. You can earn up to 50 Connects every seven days.What does ""win an interview"" mean? When the client messages me back, did I win an interview?Thanks.They give you 10 connects when a potential client contacts you after you sent a proposal, but not if a potential client invites you without a proposal. Don't know why.You were hired before you talked on zoom, right?",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/24/21 6:28,,31308dc8919cb98a,ActiveMember,"Hello LuiggiThanks for looking into the case, yes indeed the connects appeared the same day. I checked and they appered a little time after I had submited the post. So I have a question, when exactly are connects awarded? and how long can they take to apper? because I am dealing with similar situation now. I have answer to a job interview and then get picked by the contractor and in neither step I have recieve the connects. If you could help me understand this situation it would be awesome.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/16/21 4:25,,9c64dc76e86f7150,ActiveMember,"hi , i have a problem with connects , i haven't recieved my monthly 10 connects , when i was supposed to recieve it yesterday 15 feb according to the billing cirlemy freelancer account :https://www.upwork.com/freelancers/~0164a72cf6fb093451",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/14/21 6:24,,e42252d47dfb1774,AceContributor,I have send you PM please check. Thanks,Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/14/21 12:22,,6b8fe74085801e49,ActiveMember,"Hi,Today I have got 2 interviews from clients and I have not got any connects for interviews. I think UpWork has to give me 20 connects.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/14/21 12:38,,1bd7c614796f80f3,ActiveMember,Why I can't receive Monthly free Connects,Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/14/21 15:34,2/14/21 16:40,109f6e44b59015f3,ActiveMember,"Hello,Recently i got an interview but did not start contract yet.Usually for each interview I receive 10 connects, but i did not receive anything this time.Why could that be?Thank you.Kind Regards,Hadi**Edited for Community Guidelines**",**Edited**,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/12/21 14:34,,118f3fbec1fd3e33,ActiveMember,"Hi,I received this notice in my notifications: A job that you submitted a proposal for, Wordpress and SEO expert consultation, has been closed or has expired.Your proposal has been archived.My question is will I get a refund for the connections that I used for that job?Thank you",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/12/21 15:04,,8552c4849849c635,AceContributor,"In my case, Connects always return when the submitted proposal is closed or has expired.And it happens quite often lately!",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/13/21 13:18,,91cc2b1ed614d26f,ActiveMember,"It says you can earn connects when you submitted a proposal and win an interview:>Win an interview.When you submit a proposal to a client and win an interview, you’ll get a bonus of 10 Connects. You can earn up to 50 Connects every seven days.I submitted a proposal and got an offer directly. Can I still get connects from this?",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/13/21 23:29,,ad87dd0b6680d9fe,ActiveMember,I've answered invites to 3 interviews but I haven't received CONNECTS for doing so. It's been more than 1 week and I haven't received my connects yet. Is this a Glitch?,Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/10/21 13:39,,2e45dbcfe7ff7f97,ActiveMember,"Will I get Free Connects monthly? If so, How many?",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/10/21 23:55,,e950e23987fcb0a1,ActiveMember,If Upwork is taking 20% for providing platform services so shouldn't freelancers have right to get daily free 10 to 15 connects???,Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/8/21 4:36,,855e8a85e74082ee,ActiveMember,"Hello,My Current Billing Cycle is Jan 8, 2021 — Feb 7, 2021.But, the connects are still not credited.Kindly update asap.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/8/21 22:54,,9b156feff1966fe5,ActiveMember,"Okay... Now I understand why I did not receive the connects.Your tone has pricked my feelings, but I think I'll have to man up.Thank you.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/9/21 0:01,,9eebd8f1d4852dfd,ActiveMember,I have received an interview request but free connects are not posted to my account.,Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/9/21 1:54,,c76735d17da75304,ActiveMember,"Hi,I am new to upwork. I got 50 free connects at the start. I want to ask what if I ran out of all connects. Does upwork gives any free connects every month or not?",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/7/21 9:19,,9f67a78247aaf3e7,ActiveMember,"Hey, why have I not received the 10 free connects that are offered every month?",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/7/21 16:22,,f1104c272d45fa4a,ActiveMember,"Hello LuigiOk, thanks for the information and response. Have a good day.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/8/21 0:55,,eb951e824cb19c5b,ActiveMember,i didn't get my job interview connects plesae help me in this process,Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/5/21 20:47,,4b17d810117c84c4,CommunityGuru,"Hi Zeeshan,As per Upwork guidelines, your connects will be rollover up to 200 connects even in the free membership plan. So yes, it will roll over.Thanks",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/6/21 8:18,,f018ef5226387ce0,ActiveMember,Hi! I got interviewed by a client today but didn't receive my free 10 connects.,Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/6/21 8:45,2/6/21 9:07,de429f6ded8b0bf3,ActiveMember,Hello. I am a freelancer and someone invites me to a job. I receive and sent the proposal but I do not receive any single connection why?RegardsHassan**Edited for Community Guidelines**,**Edited**,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/6/21 13:59,,99a0a230f6e7e5b7,ActiveMember,"I did not get invited for this job, I sent a job proposal.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
